time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-15 00:00:00+00:00,8,3,119,6
2023-09-16 00:00:00+00:00,4,3,84,4
2023-09-17 00:00:00+00:00,5,4,48,3
2023-09-18 00:00:00+00:00,1,1,22,1
2023-09-19 00:00:00+00:00,0,0,15,1
2023-09-20 00:00:00+00:00,28,15,106,2
2023-09-21 00:00:00+00:00,8,6,41,4
2023-09-22 00:00:00+00:00,0,0,34,4
2023-09-25 00:00:00+00:00,1,1,3,1
2023-09-26 00:00:00+00:00,0,0,53,7
2023-09-27 00:00:00+00:00,6,6,22,2
2023-09-28 00:00:00+00:00,41,9,115,7
2023-09-29 00:00:00+00:00,8,7,16,3
2023-09-30 00:00:00+00:00,2,2,7,1
2023-10-01 00:00:00+00:00,3,3,44,1
2023-10-02 00:00:00+00:00,3,3,3,3
2023-10-03 00:00:00+00:00,6,6,48,5
